City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,torbay,47.6666,-52.7314,0.65,90,75,2.57,CA,1680271095
285,mareeba,-17.0,145.4333,23.58,91,44,0.5,AU,1680271095
286,saint-georges,12.0564,-61.7485,28.82,65,40,12.86,GD,1680271095
287,tanete,-3.9443,119.7848,24.41,93,100,1.57,ID,1680271095
288,santiago de cao,-7.9589,-79.2392,26.07,83,80,2.06,PE,1680271095
289,vangaindrano,-23.35,47.6,26.13,86,16,2.25,MG,1680271095
290,coquimbo,-29.9533,-71.3436,16.85,88,75,3.09,CL,1680271096
291,hofn,64.2539,-15.2082,8.01,93,100,5.14,IS,1680271096
292,kabare,-2.4683,28.8242,18.4,93,99,2.22,CD,1680271096
293,vila velha,-20.3297,-40.2925,30.97,55,0,4.12,BR,1680270883
294,sur,22.5667,59.5289,28.58,44,0,2.3,OM,1680271096
295,sioux lookout,50.1001,-91.917,-10.96,62,20,4.12,CA,1680271096
296,marawi,7.9986,124.2928,21.07,95,100,0.17,PH,1680271096
297,ahipara,-35.1667,173.1667,17.38,81,100,3.44,NZ,1680271097
298,bandarbeyla,9.4942,50.8122,28.17,67,2,4.3,SO,1680271097
299,cabo san lucas,22.8909,-109.9124,21.4,47,0,2.06,MX,1680271034
300,payo,-3.7508,103.6372,23.55,92,99,1.05,ID,1680271097
301,cairns,-16.9167,145.7667,26.15,93,75,1.03,AU,1680270912
302,loa janan,-0.583,117.095,23.17,98,99,0.8,ID,1680271098
303,nanakuli,21.3906,-158.1547,23.95,83,0,2.06,US,1680271098
304,caravelas,-17.7125,-39.2481,30.81,52,13,3.11,BR,1680271002
305,rumonge,-3.9736,29.4386,22.7,85,100,2.36,BI,1680271098
306,nola,40.922,14.5329,18.0,49,100,3.37,IT,1680271098
307,yerbogachen,61.2767,108.0108,-15.03,96,100,2.43,RU,1680271098
308,tolaga bay,-38.3667,178.3,13.44,82,100,2.55,NZ,1680271099
